id,sezione,visibile,disponibile,stato,varianti,prezzo_unico,variante_1,prezzo_1,variante_2,prezzo_2,variante_3,prezzo_3,variante_4,prezzo_4,variante_5,prezzo_5,variante_6,prezzo_6,varianti_extra
bianchina,birre,si,si,disponibile,33 cl,6,,,,,,,,,,,,,
ghe-sem,birre,si,si,disponibile,33 cl,6,,,,,,,,,,,,,
tel-chi,birre,si,si,disponibile,33 cl,6,,,,,,,,,,,,,
casciaball,birre,si,si,disponibile,33 cl,6,,,,,,,,,,,,,
ciapa-fia,birre,si,si,disponibile,33 cl,6,,,,,,,,,,,,,
moretti,birre,si,si,disponibile,33 cl,4,,,,,,,,,,,,,
spina,birre,si,no,non disponibile,"0,4 L",5,,,,,,,,,,,,,
aperol,drink,si,si,disponibile,1 drink,6,,,,,,,,,,,,,
campari,drink,si,si,disponibile,1 drink,6,,,,,,,,,,,,,
sarti,drink,si,si,disponibile,1 drink,6,,,,,,,,,,,,,
hugo,drink,si,si,disponibile,1 drink,6,,,,,,,,,,,,,
gin-tonic,drink,si,si,disponibile,1 drink,6,,,,,,,,,,,,,
gin-tonic-special,drink,si,si,disponibile,1 drink,6,,,,,,,,,,,,,
gin-lemon,drink,si,si,disponibile,1 drink,6,,,,,,,,,,,,,
oltrepo,bottiglie,si,si,disponibile,,,Bottiglia,12,Calice,4,,,,,,,,,
rosso-del-lupo,bottiglie,si,si,disponibile,Bottiglia,26,,,,,,,,,,,,,
pinot-extra-dry,bottiglie,si,si,disponibile,,,Bottiglia,16,Calice,4.5,,,,,,,,,
quarantalune,bottiglie,si,si,disponibile,Bottiglia,35,,,,,,,,,,,,,
glera-zero,bottiglie,si,si,disponibile,Bottiglia,18,,,,,,,,,,,,,
rose-n5,bottiglie,si,si,disponibile,Bottiglia,25,,,,,,,,,,,,,
acqua,altre-bevande,si,si,disponibile,,1.5,,,,,,,,,,,,,
bibite,altre-bevande,si,si,disponibile,,4,,,,,,,,,,,,,
frutta-bio,altre-bevande,si,si,disponibile,,4.5,,,,,,,,,,,,,
kombucha,altre-bevande,si,si,disponibile,,4,,,,,,,,,,,,,
caffe,altre-bevande,si,si,disponibile,Normale | Lungo | Orzo | Decaffeinato | Macchiato,1.5,,,,,,,,,,,,,
iced-coffee,altre-bevande,si,si,disponibile,,4,,,,,,,,,,,,,
grappe-amari,altre-bevande,si,si,disponibile,Amaro alle erbe Molino Santa Marta | Amaro del Capo | Averna | Brancamenta | Braulio | Fernet | Grappa barricata | Grappa morbida | Jägermeister | Limoncello | Liquirizia | Mirto | Montenegro | Unicum | San Simone,4,,,,,,,,,,,,,
metro-del-molino,taglieri,si,si,disponibile,,18,,,,,,,,,,,,,
mezzo-metro,taglieri,si,si,disponibile,,12,,,,,,,,,,,,,
agri-gelato,gelato,si,si,disponibile,,3,,,,,,,,,,,,,
