id,section_id,position,visible,name,description,category,option_1_label,option_1_display_label,option_1_price,option_2_label,option_2_display_label,option_2_price,option_3_label,option_3_display_label,option_3_price,show_detail_hint,visual_mode,visual_label,visual_script,visual_gradient_start,visual_gradient_mid,visual_gradient_end,visual_label_color,visual_script_color
bianchina,birre,0,TRUE,Bianchina,Blanche 4% vol.,Artigianali,33 cl,,6,,,,,,,TRUE,inherit,,,,,,,
ghe-sem,birre,1,TRUE,Ghe Sem,Marzen 6% vol.,Artigianali,33 cl,,6,,,,,,,TRUE,inherit,,,,,,,
tel-chi,birre,2,TRUE,Tel Chi,"IPA gluten free 4,5% vol.",Artigianali,33 cl,,6,,,,,,,TRUE,inherit,,,,,,,
casciaball,birre,3,TRUE,Casciaball,"German Ale 4,8% vol.",Artigianali,33 cl,,6,,,,,,,TRUE,inherit,,,,,,,
moretti,birre,4,TRUE,Moretti,"In bottiglia, 33 cl.",Classiche,33 cl,,4,,,,,,,FALSE,inherit,,,,,,,
spina,birre,5,TRUE,Birra alla spina,"Sonnenberg 4,8% vol. 0,4 L.",Alla spina,"0,4 L",,5,,,,,,,FALSE,inherit,,,,,,,
aperol,drink,0,TRUE,Aperol Spritz,Classico Aperol Spritz.,Drink,1 drink,,6,,,,,,,FALSE,inherit,,,,,,,
campari,drink,1,TRUE,Campari Spritz,Classico Campari Spritz.,Drink,1 drink,,6,,,,,,,FALSE,inherit,,,,,,,
sarti,drink,2,TRUE,Sarti Spritz,Versione Sarti del classico Spritz.,Drink,1 drink,,6,,,,,,,FALSE,inherit,,,,,,,
gin-tonic,drink,3,TRUE,Gin Tonic,Gin tonic.,Drink,1 drink,,6,,,,,,,FALSE,inherit,,,,,,,
gin-lemon,drink,4,TRUE,Gin Lemon,Gin lemon.,Drink,1 drink,,6,,,,,,,FALSE,inherit,,,,,,,
hugo,drink,5,TRUE,Hugo Spritz,Hugo Spritz.,Drink,1 drink,,6,,,,,,,FALSE,inherit,,,,,,,
oltrepo,bottiglie,0,TRUE,Oltrepò Pavese,"Bonarda, barbera, chardonnay, pinot grigio.",Vino,Bottiglia,,12,Calice,,4,,,,TRUE,inherit,,,,,,,
pinot-extra-dry,bottiglie,1,TRUE,"Pinot, Extra Dry Metodo Charmat","Pinot extra dry, metodo charmat.",Bollicine,Bottiglia,,16,Calice,,4.5,,,,TRUE,inherit,,,,,,,
glera-zero,bottiglie,2,TRUE,"Glera, Dry Borgo Molino Dealcolato",Glera dry dealcolato Borgo Molino.,Selezione Zero,Bottiglia,,18,,,,,,,TRUE,inherit,,,,,,,
rosso-del-lupo,bottiglie,3,TRUE,Rosso del Lupo,"Valcalepio rosso DOC, bio.",Vino,Bottiglia,,26,,,,,,,TRUE,inherit,,,,,,,
quarantalune,bottiglie,4,TRUE,Quarantalune,"Brut metodo classico, 40 mesi, millesimato.",Bollicine,Bottiglia,,35,,,,,,,TRUE,inherit,,,,,,,
rose-n5,bottiglie,5,TRUE,Rosè n°5 Feral,Fermentazione ancestrale - 0°.,Bollicine,Bottiglia,,25,,,,,,,TRUE,inherit,,,,,,,
acqua,altre-bevande,0,TRUE,Acqua,Bottiglia 50 cl.,Altre bevande,1 bottiglia,,1.5,,,,,,,TRUE,inherit,,,,,,,
caffe,altre-bevande,1,TRUE,Caffè,Caffè.,Altre bevande,1 caffè,,1.5,,,,,,,TRUE,inherit,,,,,,,
bibite,altre-bevande,2,TRUE,Bibite,Bibite analcoliche.,Altre bevande,1 bibita,,4,,,,,,,TRUE,inherit,,,,,,,
frutta-bio,altre-bevande,3,TRUE,Drink alla frutta bio,Drink alla frutta bio.,Altre bevande,1 drink,,5,,,,,,,TRUE,inherit,,,,,,,
kombucha,altre-bevande,4,TRUE,Kombucha Limone,Kombucha limone.,Altre bevande,1 bottiglia,,4,,,,,,,TRUE,inherit,,,,,,,
agri-gelato,gelato,0,TRUE,Agri-gelato km 0,Recati al carretto nel parco.,Dolce freddo,1 gelato,,3,,,,,,,TRUE,inherit,,,,,,,
metro-del-molino,taglieri,0,TRUE,Metro del Molino,"Il tagliere da 1 m con salumi, affettati e sfiziosità da condividere.",Taglieri & sfiziosità,1 metro,,18,,,,,,,TRUE,inherit,,,,,,,
mezzo-metro,taglieri,1,TRUE,1/2 Metro,"1 etto di salame nostrano, pane fatto in casa e golosità artigianali del molino.",Taglieri & sfiziosità,1 tagliere,,10,,,,,,,TRUE,inherit,,,,,,,
