nome attuale (solo riferimento),id,visibilita (visibile/nascosto),disponibilita (disponibile/non disponibile/in arrivo/al carretto),prezzo
Bianchina,bianchina,visibile,disponibile,6
Ghe Sem,ghe-sem,visibile,disponibile,6
Tel Chi,tel-chi,visibile,disponibile,6
Casciaball,casciaball,visibile,disponibile,6
Ciapa Fià,ciapa-fia,visibile,disponibile,6
Birra alla spina,spina,visibile,disponibile,5
Panachè (Radler),panache,visibile,disponibile,5
Moretti,moretti,visibile,disponibile,4
Aperol Spritz,aperol,visibile,disponibile,6
Campari Spritz,campari,visibile,disponibile,6
Garibaldi,garibaldi,visibile,disponibile,6
Sarti Spritz,sarti,visibile,disponibile,6
Hugo Spritz,hugo,visibile,disponibile,6
Americano,americano,visibile,disponibile,6
Paloma,paloma,visibile,disponibile,6
Negroni,negroni,visibile,disponibile,6
Sbagliato,sbagliato,visibile,disponibile,6
Gin Tonic,gin-tonic,visibile,disponibile,6
Gin Lemon,gin-lemon,visibile,disponibile,6
Gin Tropical,gin-tonic-special,visibile,disponibile,9
Analcolico del Molino,analcolico-del-molino,visibile,disponibile,6
Rosè n°5 Feral,rose-n5,visibile,disponibile,25
Quarantalune,quarantalune,visibile,disponibile,35
Spumante dealcolato,glera-zero,visibile,disponibile,18
"Pinot, spumante extra dry",pinot-extra-dry,visibile,disponibile,
Rosso del Lupo,rosso-del-lupo,visibile,disponibile,26
Oltrepò Pavese,oltrepo,visibile,disponibile,
Acqua,acqua,visibile,disponibile,"1,5"
Bibite,bibite,visibile,disponibile,4
Crodino,crodino,visibile,disponibile,3
Acqua tonica,acqua-tonica,visibile,disponibile,4
Tonica al cedro,tonica-cedro,visibile,disponibile,4
Chinotto,frutta-bio,visibile,disponibile,5
Kombucha,kombucha-classica,nascosto,non disponibile,4
Kombucha limone,kombucha,nascosto,in arrivo,"4,5"
Caffè,caffe,visibile,disponibile,"1,5"
Iced Latte,iced-coffee,nascosto,in arrivo,4
Grappe e amari,grappe-amari,visibile,disponibile,4
Metro del Molino,metro-del-molino,visibile,disponibile,18
Mezzo Metro,mezzo-metro-del-molino,visibile,disponibile,12
Metro Gourmet del Molino,metro-gourmet-del-molino,visibile,in arrivo,24
Pan & salam,mezzo-metro,visibile,disponibile,6
Pan & Furmagg,pan-furmag,visibile,disponibile,6
Patatine fritte,patatine-fritte,nascosto,disponibile,4
Granita,granita,visibile,disponibile,3
Agri-Milkshake KM0,milkshake,nascosto,disponibile,4
